P1      	P2       	P3        	O            	D	std(D)	Z	BABA	ABBA	nloci	nboot	pdisc	notes
[CUSV6] 	[FLSF47] 	[MXSA3017]	[AR,EN,DO,DU]	-0.415	0.028	14.66	1167.88	482.38	11091	200	0.17	test 10.1
[CUSV6] 	[FLSF47] 	[BZBB1]   	[AR,EN,DO,DU]	-0.550	0.022	24.78	1118.25	324.75	9905	200	0.16	test 10.2
[CUSV6] 	[FLSF47] 	[HNDA09]  	[AR,EN,DO,DU]	-0.527	0.024	22.32	1358.12	421.12	11482	200	0.17	test 10.3
[CUSV6] 	[FLSF47] 	[CRL0001] 	[AR,EN,DO,DU]	-0.578	0.022	25.95	1326.00	354.75	10790	200	0.17	test 10.4
[CUSV6] 	[FLSF47] 	[CRL0030] 	[AR,EN,DO,DU]	-0.542	0.025	21.61	1371.75	407.00	10735	200	0.18	test 10.5
[CUSV6] 	[FLMO62] 	[MXSA3017]	[AR,EN,DO,DU]	-0.488	0.023	21.05	1203.12	413.62	10818	200	0.17	test 10.6
[CUSV6] 	[FLMO62] 	[BZBB1]   	[AR,EN,DO,DU]	-0.536	0.022	24.40	1152.62	347.88	9706	200	0.17	test 10.7
[CUSV6] 	[FLMO62] 	[HNDA09]  	[AR,EN,DO,DU]	-0.569	0.021	27.35	1424.62	391.62	11294	200	0.18	test 10.8
[CUSV6] 	[FLMO62] 	[CRL0001] 	[AR,EN,DO,DU]	-0.569	0.021	26.92	1352.00	371.25	10557	200	0.18	test 10.9
[CUSV6] 	[FLMO62] 	[CRL0030] 	[AR,EN,DO,DU]	-0.589	0.021	28.61	1440.25	372.00	10451	200	0.18	test 10.10
[CUSV6] 	[FLSA185]	[MXSA3017]	[AR,EN,DO,DU]	-0.455	0.027	16.73	1014.00	380.25	8983	200	0.17	test 10.11
[CUSV6] 	[FLSA185]	[BZBB1]   	[AR,EN,DO,DU]	-0.511	0.035	14.68	926.88	300.12	7931	200	0.17	test 10.12
[CUSV6] 	[FLSA185]	[HNDA09]  	[AR,EN,DO,DU]	-0.543	0.028	19.04	1206.00	357.50	9350	200	0.17	test 10.13
[CUSV6] 	[FLSA185]	[CRL0001] 	[AR,EN,DO,DU]	-0.545	0.027	20.25	1150.62	338.62	8766	200	0.18	test 10.14
[CUSV6] 	[FLSA185]	[CRL0030] 	[AR,EN,DO,DU]	-0.548	0.026	20.94	1209.25	352.75	8754	200	0.18	test 10.15
[CUSV6] 	[FLCK216]	[MXSA3017]	[AR,EN,DO,DU]	-0.483	0.028	17.54	1102.38	384.62	10007	200	0.17	test 10.16
[CUSV6] 	[FLCK216]	[BZBB1]   	[AR,EN,DO,DU]	-0.572	0.024	23.79	1066.88	290.12	8844	200	0.17	test 10.17
