P1       	P2        	P3      	O            	D	std(D)	Z	BABA	ABBA	nloci	nboot	pdisc	notes
[FLSF47] 	[MXSA3017]	[CUSV6] 	[AR,EN,DO,DU]	0.237	0.025	9.40	720.12	1167.62	11091	200	0.19	test 11.1
[FLSF47] 	[MXSA3017]	[CUVN10]	[AR,EN,DO,DU]	0.341	0.022	15.67	835.75	1699.00	13894	200	0.20	test 11.2
[FLSF47] 	[MXSA3017]	[CUCA4] 	[AR,EN,DO,DU]	0.295	0.031	9.61	519.12	953.62	8533	200	0.19	test 11.3
[FLSF47] 	[BZBB1]   	[CUSV6] 	[AR,EN,DO,DU]	0.245	0.027	9.22	677.50	1118.25	9905	200	0.20	test 11.4
[FLSF47] 	[BZBB1]   	[CUVN10]	[AR,EN,DO,DU]	0.343	0.020	17.02	769.88	1574.62	12454	200	0.21	test 11.5
[FLSF47] 	[BZBB1]   	[CUCA4] 	[AR,EN,DO,DU]	0.274	0.029	9.36	513.38	901.62	7619	200	0.20	test 11.6
[FLSF47] 	[HNDA09]  	[CUSV6] 	[AR,EN,DO,DU]	0.260	0.025	10.54	795.88	1356.38	11482	200	0.20	test 11.7
[FLSF47] 	[HNDA09]  	[CUVN10]	[AR,EN,DO,DU]	0.391	0.020	19.52	869.75	1988.75	14521	200	0.22	test 11.8
[FLSF47] 	[HNDA09]  	[CUCA4] 	[AR,EN,DO,DU]	0.366	0.024	15.17	518.25	1116.75	8781	200	0.21	test 11.9
[FLSF47] 	[CRL0001] 	[CUSV6] 	[AR,EN,DO,DU]	0.295	0.025	11.76	720.75	1324.75	10790	200	0.20	test 11.10
[FLSF47] 	[CRL0001] 	[CUVN10]	[AR,EN,DO,DU]	0.392	0.020	19.12	801.75	1834.00	13567	200	0.21	test 11.11
[FLSF47] 	[CRL0001] 	[CUCA4] 	[AR,EN,DO,DU]	0.347	0.027	12.78	503.88	1039.38	8254	200	0.21	test 11.12
[FLSF47] 	[CRL0030] 	[CUSV6] 	[AR,EN,DO,DU]	0.294	0.023	12.88	746.50	1368.25	10735	200	0.21	test 11.13
[FLSF47] 	[CRL0030] 	[CUVN10]	[AR,EN,DO,DU]	0.375	0.019	20.22	870.25	1916.00	13573	200	0.22	test 11.14
[FLSF47] 	[CRL0030] 	[CUCA4] 	[AR,EN,DO,DU]	0.352	0.026	13.73	512.88	1069.88	8113	200	0.21	test 11.15
[FLMO62] 	[MXSA3017]	[CUSV6] 	[AR,EN,DO,DU]	0.307	0.026	11.62	637.12	1202.38	10818	200	0.19	test 11.16
[FLMO62] 	[MXSA3017]	[CUVN10]	[AR,EN,DO,DU]	0.417	0.018	22.75	726.25	1764.75	13568	200	0.21	test 11.17
[FLMO62] 	[MXSA3017]	[CUCA4] 	[AR,EN,DO,DU]	0.328	0.029	11.26	459.62	908.62	8349	200	0.19	test 11.18
[FLMO62] 	[BZBB1]   	[CUSV6] 	[AR,EN,DO,DU]	0.327	0.027	11.92	584.25	1153.00	9706	200	0.20	test 11.19
[FLMO62] 	[BZBB1]   	[CUVN10]	[AR,EN,DO,DU]	0.426	0.023	18.18	648.25	1609.00	12276	200	0.20	test 11.20
[FLMO62] 	[BZBB1]   	[CUCA4] 	[AR,EN,DO,DU]	0.341	0.029	11.84	440.00	896.00	7494	200	0.20	test 11.21
[FLMO62] 	[HNDA09]  	[CUSV6] 	[AR,EN,DO,DU]	0.367	0.024	15.26	659.38	1423.12	11294	200	0.20	test 11.22
[FLMO62] 	[HNDA09]  	[CUVN10]	[AR,EN,DO,DU]	0.454	0.018	25.84	767.12	2044.38	14345	200	0.21	test 11.23
[FLMO62] 	[HNDA09]  	[CUCA4] 	[AR,EN,DO,DU]	0.413	0.025	16.56	466.50	1123.25	8653	200	0.20	test 11.24
[FLMO62] 	[CRL0001] 	[CUSV6] 	[AR,EN,DO,DU]	0.367	0.026	14.11	625.00	1351.25	10557	200	0.20	test 11.25
[FLMO62] 	[CRL0001] 	[CUVN10]	[AR,EN,DO,DU]	0.461	0.019	24.55	703.62	1907.38	13338	200	0.21	test 11.26
[FLMO62] 	[CRL0001] 	[CUCA4] 	[AR,EN,DO,DU]	0.407	0.027	15.10	425.88	1011.12	8094	200	0.20	test 11.27
[FLMO62] 	[CRL0030] 	[CUSV6] 	[AR,EN,DO,DU]	0.360	0.023	15.62	675.50	1436.75	10451	200	0.21	test 11.28
[FLMO62] 	[CRL0030] 	[CUVN10]	[AR,EN,DO,DU]	0.446	0.019	23.64	767.25	2005.00	13280	200	0.23	test 11.29
[FLMO62] 	[CRL0030] 	[CUCA4] 	[AR,EN,DO,DU]	0.402	0.026	15.55	468.38	1097.62	7956	200	0.21	test 11.30
[FLSA185]	[MXSA3017]	[CUSV6] 	[AR,EN,DO,DU]	0.336	0.031	11.01	504.25	1014.25	8983	200	0.18	test 11.31
[FLSA185]	[MXSA3017]	[CUVN10]	[AR,EN,DO,DU]	0.404	0.023	17.74	578.00	1362.00	10748	200	0.20	test 11.32
[FLSA185]	[MXSA3017]	[CUCA4] 	[AR,EN,DO,DU]	0.399	0.032	12.59	364.62	848.12	6893	200	0.19	test 11.33
[FLSA185]	[BZBB1]   	[CUSV6] 	[AR,EN,DO,DU]	0.328	0.031	10.69	469.12	926.38	7931	200	0.19	test 11.34
[FLSA185]	[BZBB1]   	[CUVN10]	[AR,EN,DO,DU]	0.374	0.026	14.18	555.25	1217.75	9694	200	0.20	test 11.35
[FLSA185]	[BZBB1]   	[CUCA4] 	[AR,EN,DO,DU]	0.387	0.031	12.51	332.25	751.75	6216	200	0.19	test 11.36
[FLSA185]	[HNDA09]  	[CUSV6] 	[AR,EN,DO,DU]	0.405	0.024	17.10	510.12	1204.88	9350	200	0.19	test 11.37
[FLSA185]	[HNDA09]  	[CUVN10]	[AR,EN,DO,DU]	0.468	0.022	20.84	613.38	1691.12	11355	200	0.21	test 11.38
[FLSA185]	[HNDA09]  	[CUCA4] 	[AR,EN,DO,DU]	0.444	0.029	15.46	375.62	975.12	7183	200	0.20	test 11.39
[FLSA185]	[CRL0001] 	[CUSV6] 	[AR,EN,DO,DU]	0.412	0.024	17.32	478.88	1150.62	8766	200	0.20	test 11.40
[FLSA185]	[CRL0001] 	[CUVN10]	[AR,EN,DO,DU]	0.442	0.022	19.84	595.12	1539.62	10622	200	0.21	test 11.41
[FLSA185]	[CRL0001] 	[CUCA4] 	[AR,EN,DO,DU]	0.430	0.030	14.21	349.62	876.38	6743	200	0.20	test 11.42
[FLSA185]	[CRL0030] 	[CUSV6] 	[AR,EN,DO,DU]	0.405	0.024	16.56	510.75	1207.25	8754	200	0.21	test 11.43
[FLSA185]	[CRL0030] 	[CUVN10]	[AR,EN,DO,DU]	0.434	0.021	20.46	634.88	1607.12	10644	200	0.22	test 11.44
[FLSA185]	[CRL0030] 	[CUCA4] 	[AR,EN,DO,DU]	0.453	0.028	16.22	346.12	918.62	6678	200	0.20	test 11.45
[FLCK216]	[MXSA3017]	[CUSV6] 	[AR,EN,DO,DU]	0.267	0.028	9.54	637.88	1102.62	10007	200	0.19	test 11.46
[FLCK216]	[MXSA3017]	[CUVN10]	[AR,EN,DO,DU]	0.351	0.024	14.73	705.62	1467.38	11790	200	0.20	test 11.47
[FLCK216]	[MXSA3017]	[CUCA4] 	[AR,EN,DO,DU]	0.320	0.027	11.89	478.25	928.25	7777	200	0.19	test 11.48
