P1        	P2       	P3      	O            	D	std(D)	Z	BABA	ABBA	nloci	nboot	pdisc	notes
[MXSA3017]	[BZBB1]  	[BJVL19]	[AR,EN,DO,DU]	0.038	0.038	1.01	449.75	485.75	13091	200	0.08	test 13.1
[MXSA3017]	[BZBB1]  	[BJSL25]	[AR,EN,DO,DU]	0.040	0.037	1.09	495.00	536.75	13411	200	0.08	test 13.2
[MXSA3017]	[BZBB1]  	[BJSB3] 	[AR,EN,DO,DU]	0.015	0.040	0.37	428.25	441.00	12177	200	0.08	test 13.3
[MXSA3017]	[HNDA09] 	[BJVL19]	[AR,EN,DO,DU]	0.074	0.034	2.14	531.00	615.25	15694	200	0.08	test 13.4
[MXSA3017]	[HNDA09] 	[BJSL25]	[AR,EN,DO,DU]	0.064	0.034	1.87	564.75	641.50	15967	200	0.08	test 13.5
[MXSA3017]	[HNDA09] 	[BJSB3] 	[AR,EN,DO,DU]	0.018	0.039	0.46	486.75	504.75	14219	200	0.08	test 13.6
[MXSA3017]	[CRL0001]	[BJVL19]	[AR,EN,DO,DU]	0.041	0.036	1.13	493.25	535.25	14444	200	0.08	test 13.7
[MXSA3017]	[CRL0001]	[BJSL25]	[AR,EN,DO,DU]	0.027	0.036	0.73	532.38	561.62	14729	200	0.08	test 13.8
[MXSA3017]	[CRL0001]	[BJSB3] 	[AR,EN,DO,DU]	0.053	0.035	1.51	426.88	475.12	13167	200	0.07	test 13.9
[MXSA3017]	[CRL0030]	[BJVL19]	[AR,EN,DO,DU]	0.080	0.034	2.37	591.50	693.75	15574	200	0.09	test 13.10
[MXSA3017]	[CRL0030]	[BJSL25]	[AR,EN,DO,DU]	0.075	0.033	2.27	592.38	688.88	15940	200	0.09	test 13.11
[MXSA3017]	[CRL0030]	[BJSB3] 	[AR,EN,DO,DU]	0.058	0.039	1.48	458.50	514.50	13066	200	0.08	test 13.12
[BZBB1]   	[HNDA09] 	[BJVL19]	[AR,EN,DO,DU]	0.060	0.041	1.45	421.75	475.75	13944	200	0.07	test 13.13
[BZBB1]   	[HNDA09] 	[BJSL25]	[AR,EN,DO,DU]	0.026	0.039	0.66	489.12	514.88	14255	200	0.08	test 13.14
[BZBB1]   	[HNDA09] 	[BJSB3] 	[AR,EN,DO,DU]	-0.008	0.041	0.20	413.62	406.88	12883	200	0.07	test 13.15
[BZBB1]   	[CRL0001]	[BJVL19]	[AR,EN,DO,DU]	-0.005	0.042	0.12	439.75	435.25	12877	200	0.08	test 13.16
[BZBB1]   	[CRL0001]	[BJSL25]	[AR,EN,DO,DU]	0.028	0.043	0.66	450.25	476.50	13162	200	0.08	test 13.17
[BZBB1]   	[CRL0001]	[BJSB3] 	[AR,EN,DO,DU]	0.012	0.042	0.29	383.38	392.62	11889	200	0.07	test 13.18
[BZBB1]   	[CRL0030]	[BJVL19]	[AR,EN,DO,DU]	-0.003	0.036	0.09	491.25	488.25	13655	200	0.08	test 13.19
[BZBB1]   	[CRL0030]	[BJSL25]	[AR,EN,DO,DU]	0.069	0.037	1.85	491.00	563.25	14066	200	0.08	test 13.20
[BZBB1]   	[CRL0030]	[BJSB3] 	[AR,EN,DO,DU]	0.017	0.039	0.45	380.12	393.62	11698	200	0.07	test 13.21
[HNDA09]  	[CRL0001]	[BJVL19]	[AR,EN,DO,DU]	-0.016	0.037	0.44	515.00	498.75	15573	200	0.07	test 13.22
[HNDA09]  	[CRL0001]	[BJSL25]	[AR,EN,DO,DU]	-0.033	0.039	0.85	501.88	469.62	15791	200	0.07	test 13.23
[HNDA09]  	[CRL0001]	[BJSB3] 	[AR,EN,DO,DU]	0.009	0.045	0.21	397.25	404.75	13968	200	0.06	test 13.24
[HNDA09]  	[CRL0030]	[BJVL19]	[AR,EN,DO,DU]	-0.028	0.034	0.82	589.75	558.00	16939	200	0.08	test 13.25
[HNDA09]  	[CRL0030]	[BJSL25]	[AR,EN,DO,DU]	0.034	0.032	1.07	575.50	615.75	17326	200	0.08	test 13.26
[HNDA09]  	[CRL0030]	[BJSB3] 	[AR,EN,DO,DU]	0.027	0.037	0.72	402.75	425.00	13909	200	0.07	test 13.27
[CRL0001] 	[CRL0030]	[BJVL19]	[AR,EN,DO,DU]	0.033	0.039	0.84	451.25	482.00	15725	200	0.07	test 13.28
[CRL0001] 	[CRL0030]	[BJSL25]	[AR,EN,DO,DU]	0.040	0.038	1.05	469.38	508.12	16097	200	0.07	test 13.29
[CRL0001] 	[CRL0030]	[BJSB3] 	[AR,EN,DO,DU]	0.039	0.043	0.90	337.25	364.50	12927	200	0.06	test 13.30
