P1      	P2     	P3        	O            	D	std(D)	Z	BABA	ABBA	nloci	nboot	pdisc	notes
[BJVL19]	[TXMD3]	[MXSA3017]	[AR,EN,DO,DU]	0.181	0.027	6.66	660.00	952.00	13827	200	0.13	test 14.1
[BJVL19]	[TXMD3]	[BZBB1]   	[AR,EN,DO,DU]	0.165	0.031	5.39	611.62	853.12	12239	200	0.13	test 14.2
[BJVL19]	[TXMD3]	[HNDA09]  	[AR,EN,DO,DU]	0.130	0.028	4.65	772.00	1001.75	14638	200	0.13	test 14.3
[BJVL19]	[TXMD3]	[CRL0001] 	[AR,EN,DO,DU]	0.155	0.031	5.06	670.25	916.75	13512	200	0.12	test 14.4
[BJVL19]	[TXMD3]	[CRL0030] 	[AR,EN,DO,DU]	0.104	0.031	3.39	845.25	1040.50	14361	200	0.14	test 14.5
[BJVL19]	[TXGR3]	[MXSA3017]	[AR,EN,DO,DU]	0.127	0.029	4.37	645.38	832.62	12586	200	0.13	test 14.6
[BJVL19]	[TXGR3]	[BZBB1]   	[AR,EN,DO,DU]	0.081	0.033	2.49	622.12	732.38	11226	200	0.13	test 14.7
[BJVL19]	[TXGR3]	[HNDA09]  	[AR,EN,DO,DU]	0.111	0.032	3.54	698.88	874.12	13324	200	0.13	test 14.8
[BJVL19]	[TXGR3]	[CRL0001] 	[AR,EN,DO,DU]	0.148	0.027	5.43	615.00	829.50	12426	200	0.13	test 14.9
[BJVL19]	[TXGR3]	[CRL0030] 	[AR,EN,DO,DU]	0.114	0.029	3.92	748.50	942.00	13164	200	0.14	test 14.10
[BJVL19]	[MXED8]	[MXSA3017]	[AR,EN,DO,DU]	0.220	0.030	7.31	755.50	1180.50	14995	200	0.14	test 14.11
[BJVL19]	[MXED8]	[BZBB1]   	[AR,EN,DO,DU]	0.216	0.028	7.60	648.50	1006.25	13224	200	0.14	test 14.12
[BJVL19]	[MXED8]	[HNDA09]  	[AR,EN,DO,DU]	0.184	0.030	6.10	842.88	1222.12	15849	200	0.14	test 14.13
[BJVL19]	[MXED8]	[CRL0001] 	[AR,EN,DO,DU]	0.216	0.027	8.13	725.25	1124.25	14768	200	0.13	test 14.14
[BJVL19]	[MXED8]	[CRL0030] 	[AR,EN,DO,DU]	0.145	0.026	5.55	930.88	1245.88	16007	200	0.15	test 14.15
[BJVL19]	[MXGT4]	[MXSA3017]	[AR,EN,DO,DU]	0.132	0.026	5.05	767.00	1000.75	16039	200	0.12	test 14.16
[BJVL19]	[MXGT4]	[BZBB1]   	[AR,EN,DO,DU]	0.060	0.032	1.88	714.00	805.50	14030	200	0.12	test 14.17
[BJVL19]	[MXGT4]	[HNDA09]  	[AR,EN,DO,DU]	0.034	0.027	1.26	912.88	977.38	17055	200	0.12	test 14.18
[BJVL19]	[MXGT4]	[CRL0001] 	[AR,EN,DO,DU]	0.087	0.027	3.29	794.38	946.62	15874	200	0.12	test 14.19
