P1        	P2       	P3      	O            	D	std(D)	Z	BABA	ABBA	nloci	nboot	pdisc	notes
[MXSA3017]	[BZBB1]  	[CUSV6] 	[AR,EN,DO,DU]	0.040	0.040	1.02	491.38	532.62	10739	200	0.11	test 25.1
[MXSA3017]	[BZBB1]  	[CUVN10]	[AR,EN,DO,DU]	0.059	0.030	1.93	635.88	715.12	13535	200	0.12	test 25.2
[MXSA3017]	[BZBB1]  	[CUCA4] 	[AR,EN,DO,DU]	0.089	0.041	2.19	364.50	436.00	8296	200	0.12	test 25.3
[MXSA3017]	[HNDA09] 	[CUSV6] 	[AR,EN,DO,DU]	0.163	0.032	5.09	495.12	687.88	12598	200	0.12	test 25.4
[MXSA3017]	[HNDA09] 	[CUVN10]	[AR,EN,DO,DU]	0.192	0.026	7.31	650.62	958.88	15871	200	0.13	test 25.5
[MXSA3017]	[HNDA09] 	[CUCA4] 	[AR,EN,DO,DU]	0.192	0.031	6.25	369.50	545.25	9665	200	0.12	test 25.6
[MXSA3017]	[CRL0001]	[CUSV6] 	[AR,EN,DO,DU]	0.132	0.035	3.80	484.62	632.12	11729	200	0.11	test 25.7
[MXSA3017]	[CRL0001]	[CUVN10]	[AR,EN,DO,DU]	0.147	0.028	5.28	667.75	898.25	14753	200	0.12	test 25.8
[MXSA3017]	[CRL0001]	[CUCA4] 	[AR,EN,DO,DU]	0.163	0.040	4.11	368.25	511.25	9024	200	0.12	test 25.9
[MXSA3017]	[CRL0030]	[CUSV6] 	[AR,EN,DO,DU]	0.181	0.035	5.16	489.25	705.25	11736	200	0.12	test 25.10
[MXSA3017]	[CRL0030]	[CUVN10]	[AR,EN,DO,DU]	0.157	0.028	5.64	680.12	934.12	14776	200	0.13	test 25.11
[MXSA3017]	[CRL0030]	[CUCA4] 	[AR,EN,DO,DU]	0.243	0.034	7.09	333.62	548.12	8874	200	0.12	test 25.12
[BZBB1]   	[HNDA09] 	[CUSV6] 	[AR,EN,DO,DU]	0.107	0.037	2.87	449.00	557.00	11286	200	0.11	test 25.13
[BZBB1]   	[HNDA09] 	[CUVN10]	[AR,EN,DO,DU]	0.120	0.033	3.62	594.75	756.50	14344	200	0.11	test 25.14
[BZBB1]   	[HNDA09] 	[CUCA4] 	[AR,EN,DO,DU]	0.059	0.037	1.59	360.00	404.75	8641	200	0.11	test 25.15
[BZBB1]   	[CRL0001]	[CUSV6] 	[AR,EN,DO,DU]	0.083	0.037	2.22	435.75	515.00	10502	200	0.10	test 25.16
[BZBB1]   	[CRL0001]	[CUVN10]	[AR,EN,DO,DU]	0.066	0.034	1.98	584.38	667.62	13320	200	0.11	test 25.17
[BZBB1]   	[CRL0001]	[CUCA4] 	[AR,EN,DO,DU]	0.098	0.040	2.45	321.88	391.62	8044	200	0.11	test 25.18
[BZBB1]   	[CRL0030]	[CUSV6] 	[AR,EN,DO,DU]	0.116	0.036	3.24	412.62	520.62	10314	200	0.11	test 25.19
[BZBB1]   	[CRL0030]	[CUVN10]	[AR,EN,DO,DU]	0.094	0.032	2.89	569.50	687.25	13171	200	0.11	test 25.20
[BZBB1]   	[CRL0030]	[CUCA4] 	[AR,EN,DO,DU]	0.139	0.045	3.09	327.62	433.12	7856	200	0.11	test 25.21
[HNDA09]  	[CRL0001]	[CUSV6] 	[AR,EN,DO,DU]	-0.010	0.036	0.27	519.25	509.00	12453	200	0.10	test 25.22
[HNDA09]  	[CRL0001]	[CUVN10]	[AR,EN,DO,DU]	-0.014	0.030	0.48	684.00	665.00	15701	200	0.11	test 25.23
[HNDA09]  	[CRL0001]	[CUCA4] 	[AR,EN,DO,DU]	-0.026	0.038	0.69	408.38	387.38	9447	200	0.10	test 25.24
[HNDA09]  	[CRL0030]	[CUSV6] 	[AR,EN,DO,DU]	0.030	0.034	0.87	543.00	576.25	12431	200	0.11	test 25.25
[HNDA09]  	[CRL0030]	[CUVN10]	[AR,EN,DO,DU]	-0.059	0.031	1.88	752.88	669.38	15863	200	0.11	test 25.26
[HNDA09]  	[CRL0030]	[CUCA4] 	[AR,EN,DO,DU]	0.017	0.036	0.47	400.75	414.50	9341	200	0.11	test 25.27
[CRL0001] 	[CRL0030]	[CUSV6] 	[AR,EN,DO,DU]	0.009	0.039	0.24	443.88	452.38	11696	200	0.09	test 25.28
[CRL0001] 	[CRL0030]	[CUVN10]	[AR,EN,DO,DU]	0.003	0.031	0.10	582.62	586.38	14770	200	0.10	test 25.29
[CRL0001] 	[CRL0030]	[CUCA4] 	[AR,EN,DO,DU]	0.013	0.038	0.34	324.62	333.12	8703	200	0.09	test 25.30
