P1        	P2      	P3       	O            	D	std(D)	Z	BABA	ABBA	nloci	nboot	pdisc	notes
[MXSA3017]	[CUSV6] 	[FLSF47] 	[AR,EN,DO,DU]	0.199	0.036	5.56	482.12	721.62	11091	200	0.12	test 9.1
[MXSA3017]	[CUSV6] 	[FLMO62] 	[AR,EN,DO,DU]	0.215	0.035	6.13	412.38	638.38	10818	200	0.12	test 9.2
[MXSA3017]	[CUSV6] 	[FLSA185]	[AR,EN,DO,DU]	0.141	0.046	3.10	380.75	505.75	8983	200	0.11	test 9.3
[MXSA3017]	[CUSV6] 	[FLCK216]	[AR,EN,DO,DU]	0.249	0.032	7.76	384.62	639.62	10007	200	0.12	test 9.4
[MXSA3017]	[CUSV6] 	[FLAB109]	[AR,EN,DO,DU]	0.299	0.028	10.57	500.62	927.12	12552	200	0.13	test 9.5
[MXSA3017]	[CUSV6] 	[FLWO6]  	[AR,EN,DO,DU]	0.307	0.032	9.54	378.00	712.75	10401	200	0.12	test 9.6
[MXSA3017]	[CUSV6] 	[FLSF54] 	[AR,EN,DO,DU]	0.315	0.028	11.45	494.25	949.00	12119	200	0.13	test 9.7
[MXSA3017]	[CUSV6] 	[FLCK18] 	[AR,EN,DO,DU]	0.322	0.033	9.82	377.38	735.38	10549	200	0.12	test 9.8
[MXSA3017]	[CUSV6] 	[LALC2]  	[AR,EN,DO,DU]	0.258	0.027	9.53	539.62	914.88	13346	200	0.12	test 9.9
[MXSA3017]	[CUSV6] 	[FLSF33] 	[AR,EN,DO,DU]	0.256	0.034	7.45	398.38	671.88	10441	200	0.12	test 9.10
[MXSA3017]	[CUSV6] 	[FLBA140]	[AR,EN,DO,DU]	0.242	0.029	8.39	559.50	916.00	12492	200	0.13	test 9.11
[MXSA3017]	[CUVN10]	[FLSF47] 	[AR,EN,DO,DU]	0.222	0.032	6.88	532.75	836.50	13894	200	0.12	test 9.12
[MXSA3017]	[CUVN10]	[FLMO62] 	[AR,EN,DO,DU]	0.167	0.032	5.14	519.25	726.75	13568	200	0.11	test 9.13
[MXSA3017]	[CUVN10]	[FLSA185]	[AR,EN,DO,DU]	0.155	0.038	4.07	423.25	578.25	10748	200	0.11	test 9.14
[MXSA3017]	[CUVN10]	[FLCK216]	[AR,EN,DO,DU]	0.229	0.030	7.51	443.38	706.12	11790	200	0.12	test 9.15
[MXSA3017]	[CUVN10]	[FLAB109]	[AR,EN,DO,DU]	0.276	0.030	9.25	579.50	1021.50	15485	200	0.12	test 9.16
[MXSA3017]	[CUVN10]	[FLWO6]  	[AR,EN,DO,DU]	0.312	0.028	11.19	428.50	818.00	13064	200	0.12	test 9.17
[MXSA3017]	[CUVN10]	[FLSF54] 	[AR,EN,DO,DU]	0.264	0.025	10.47	609.00	1046.75	15193	200	0.13	test 9.18
