P1        	P2      	P3       	O            	D	std(D)	Z	BABA	ABBA	nloci	nboot	pdisc	notes
[MXSA3017]	[CUSV6] 	[LALC2]  	[AR,EN,DO,DU]	0.258	0.027	9.53	539.62	914.88	13346	200	0.12	test 9.9
[MXSA3017]	[CUSV6] 	[FLSF33] 	[AR,EN,DO,DU]	0.256	0.034	7.45	398.38	671.88	10441	200	0.12	test 9.10
[MXSA3017]	[CUSV6] 	[FLBA140]	[AR,EN,DO,DU]	0.242	0.029	8.39	559.50	916.00	12492	200	0.13	test 9.11
[MXSA3017]	[CUVN10]	[LALC2]  	[AR,EN,DO,DU]	0.216	0.027	8.02	671.00	1041.25	16752	200	0.12	test 9.20
[MXSA3017]	[CUVN10]	[FLSF33] 	[AR,EN,DO,DU]	0.236	0.031	7.71	488.88	790.88	13103	200	0.11	test 9.21
[MXSA3017]	[CUVN10]	[FLBA140]	[AR,EN,DO,DU]	0.234	0.024	9.76	650.38	1047.88	15621	200	0.13	test 9.22
[MXSA3017]	[CUCA4] 	[LALC2]  	[AR,EN,DO,DU]	0.209	0.036	5.87	421.50	644.50	10163	200	0.12	test 9.31
[MXSA3017]	[CUCA4] 	[FLSF33] 	[AR,EN,DO,DU]	0.214	0.042	5.14	311.62	480.88	8017	200	0.11	test 9.32
[MXSA3017]	[CUCA4] 	[FLBA140]	[AR,EN,DO,DU]	0.215	0.038	5.70	414.88	642.38	9417	200	0.13	test 9.33
[BZBB1]   	[CUSV6] 	[LALC2]  	[AR,EN,DO,DU]	0.289	0.032	9.05	445.50	807.50	11836	200	0.12	test 9.42
[BZBB1]   	[CUSV6] 	[FLSF33] 	[AR,EN,DO,DU]	0.304	0.035	8.77	324.62	608.12	9261	200	0.12	test 9.43
[BZBB1]   	[CUSV6] 	[FLBA140]	[AR,EN,DO,DU]	0.289	0.030	9.50	439.12	795.88	10926	200	0.13	test 9.44
[BZBB1]   	[CUVN10]	[LALC2]  	[AR,EN,DO,DU]	0.208	0.027	7.77	614.88	938.38	15088	200	0.12	test 9.53
