p1        	p2       	p3_1     	p3_2      	O            	D_12	D_1	D_2	Z_12	Z_1	Z_2	BABBA	ABBBA	BABAA	ABBAA	BAABA	ABABA	nloci	pdisc	notes
[MXSA3017]	[HNDA09] 	[LALC2]  	[CUVN10]  	[DO,DU,AR,EN]	0.120	-0.124	0.266	4.43	2.36	7.95	517.25	658.60	228.96	178.33	291.29	502.42	13852	0.15	OOVS
[MXSA3017]	[HNDA09] 	[FLBA140]	[CUVN10]  	[DO,DU,AR,EN]	0.105	-0.074	0.280	3.53	1.14	9.27	496.33	612.83	207.72	179.16	272.16	483.40	12661	0.15	OOVS
[LALC2]   	[CUVN10] 	[HNDA09] 	[MXSA3017]	[DO,DU,AR,EN]	0.523	0.479	0.122	29.61	11.59	3.04	531.28	1698.61	177.54	503.36	227.64	290.80	13852	0.22	VSOO
[LALC2]   	[CUVN10] 	[HNDA09] 	[MXSA3017]	[DO,DU,AR,EN]	0.523	0.479	0.122	27.55	11.17	2.81	531.28	1698.61	177.54	503.36	227.64	290.80	13852	0.22	VSOO
[HNDA09]  	[CUVN10] 	[FLBA140]	[LALC2]   	[DO,DU,AR,EN]	0.252	0.211	0.117	9.29	4.63	2.40	570.99	954.88	168.84	258.89	172.48	218.00	14477	0.15	OSVV
[MXSA3017]	[CUVN10] 	[FLBA140]	[LALC2]   	[DO,DU,AR,EN]	0.238	0.171	0.050	9.59	3.36	1.23	536.98	871.65	163.55	230.82	184.81	204.16	13589	0.15	OSVV
[LALC2]   	[FLBA140]	[CUVN10] 	[HNDA09]  	[DO,DU,AR,EN]	0.005	0.084	-0.021	0.16	2.00	0.33	609.20	614.82	218.96	258.94	175.54	168.27	14477	0.13	VVSO
[LALC2]   	[FLBA140]	[CUVN10] 	[HNDA09]  	[DO,DU,AR,EN]	0.005	0.084	-0.021	0.15	1.90	0.36	609.20	614.82	218.96	258.94	175.54	168.27	14477	0.13	VVSO
[MXSA3017]	[HNDA09] 	[FLAB109]	[CUVN10]  	[DO,DU,AR,EN]	0.125	-0.077	0.253	4.35	1.32	7.35	457.81	588.58	173.68	148.89	274.09	459.43	12677	0.15	OOVG
[FLAB109] 	[CUVN10] 	[HNDA09] 	[MXSA3017]	[DO,DU,AR,EN]	0.572	0.517	0.224	29.41	13.06	4.56	435.11	1597.75	146.76	461.31	173.78	274.35	12677	0.21	GSOO
[HNDA09]  	[CUVN10] 	[FLBA140]	[FLAB109] 	[DO,DU,AR,EN]	0.284	0.181	0.313	10.15	3.92	8.04	512.35	918.92	204.12	294.27	166.35	317.59	13417	0.16	OSVG
[MXSA3017]	[CUVN10] 	[FLBA140]	[FLAB109] 	[DO,DU,AR,EN]	0.255	0.114	0.269	9.22	2.58	5.39	485.63	817.89	193.46	243.49	169.06	293.34	12541	0.16	OSVG
[HNDA09]  	[CUVN10] 	[LALC2]  	[FLAB109] 	[DO,DU,AR,EN]	0.266	0.048	0.348	9.95	1.07	8.90	527.26	908.94	238.15	262.10	174.25	359.98	14420	0.15	OSVG
[MXSA3017]	[CUVN10] 	[LALC2]  	[FLAB109] 	[DO,DU,AR,EN]	0.253	0.020	0.349	9.67	0.41	8.84	493.44	828.08	222.09	231.05	151.83	314.79	13542	0.15	OSVG
[LALC2]   	[FLAB109]	[CUVN10] 	[HNDA09]  	[DO,DU,AR,EN]	-0.043	0.152	-0.157	1.59	4.05	3.47	781.36	716.41	263.49	358.31	239.69	174.51	14420	0.16	VGSO
[LALC2]   	[FLAB109]	[CUVN10] 	[HNDA09]  	[DO,DU,AR,EN]	-0.043	0.152	-0.157	1.69	4.18	2.94	781.36	716.41	263.49	358.31	239.69	174.51	14420	0.16	VGSO
[FLBA140] 	[FLAB109]	[CUVN10] 	[HNDA09]  	[DO,DU,AR,EN]	-0.030	0.036	-0.107	1.13	0.96	2.41	757.76	713.07	294.04	315.82	204.55	164.85	13417	0.16	VGSO
[FLBA140] 	[FLAB109]	[CUVN10] 	[HNDA09]  	[DO,DU,AR,EN]	-0.030	0.036	-0.107	1.06	0.88	2.24	757.76	713.07	294.04	315.82	204.55	164.85	13417	0.16	VGSO
