P1       	P2       	P3  	O      	D	std(D)	Z	BABA	ABBA	nloci	nboot	pdisc	notes
[FLSA185]	[LALC2]  	[DO]	[NI,HE]	0.101	0.051	1.99	209.25	256.25	10493	200	0.05	
[FLSA185]	[FLBA140]	[DO]	[NI,HE]	0.040	0.053	0.75	224.00	242.50	9979	200	0.05	
[FLSA185]	[FLSF54] 	[DO]	[NI,HE]	0.050	0.052	0.96	208.75	230.75	9618	200	0.06	
[FLSA185]	[FLAB109]	[DO]	[NI,HE]	0.014	0.057	0.25	221.50	228.00	10117	200	0.05	
[FLSF47] 	[LALC2]  	[DO]	[NI,HE]	-0.006	0.044	0.13	272.88	269.88	13372	200	0.05	
[FLSF47] 	[FLBA140]	[DO]	[NI,HE]	0.032	0.041	0.79	270.00	288.00	12578	200	0.05	
[FLSF47] 	[FLSF54] 	[DO]	[NI,HE]	-0.019	0.046	0.42	268.88	258.62	12141	200	0.05	
[FLSF47] 	[FLAB109]	[DO]	[NI,HE]	0.024	0.054	0.45	257.88	270.62	12541	200	0.05	
[FLSA185]	[LALC2]  	[AR]	[NI,HE]	0.045	0.054	0.83	283.25	309.75	11237	200	0.06	
[FLSA185]	[FLBA140]	[AR]	[NI,HE]	-0.044	0.054	0.81	307.50	281.75	10856	200	0.06	
[FLSA185]	[FLSF54] 	[AR]	[NI,HE]	-0.022	0.046	0.48	285.50	273.25	10532	200	0.06	
[FLSA185]	[FLAB109]	[AR]	[NI,HE]	-0.097	0.053	1.82	311.62	256.62	10957	200	0.06	
[FLSF47] 	[LALC2]  	[AR]	[NI,HE]	-0.003	0.048	0.07	337.38	335.12	14318	200	0.05	
[FLSF47] 	[FLBA140]	[AR]	[NI,HE]	0.061	0.041	1.50	327.62	370.38	13619	200	0.06	
[FLSF47] 	[FLSF54] 	[AR]	[NI,HE]	-0.037	0.043	0.86	320.12	297.12	13183	200	0.06	
[FLSF47] 	[FLAB109]	[AR]	[NI,HE]	0.019	0.043	0.45	304.75	316.75	13460	200	0.05	
