P1        	P2       	P3        	O            	D	std(D)	Z	BABA	ABBA	nloci	nboot	pdisc	notes
[MXSA3017]	[HNDA09] 	[LALC2]   	[AR,EN,DO,DU]	-0.038	0.036	1.05	648.62	601.62	16954	200	0.08	
[MXSA3017]	[CRL0001]	[LALC2]   	[AR,EN,DO,DU]	-0.054	0.034	1.61	587.38	527.12	15614	200	0.08	
[MXSA3017]	[CRL0030]	[LALC2]   	[AR,EN,DO,DU]	-0.029	0.035	0.84	626.75	591.25	15954	200	0.09	
[MXSA3017]	[HNDA09] 	[FLBA140] 	[AR,EN,DO,DU]	-0.027	0.036	0.77	639.00	605.00	15869	200	0.09	
[MXSA3017]	[CRL0001]	[FLBA140] 	[AR,EN,DO,DU]	-0.020	0.035	0.58	562.25	539.75	14562	200	0.08	
[MXSA3017]	[CRL0030]	[FLBA140] 	[AR,EN,DO,DU]	0.002	0.036	0.04	665.38	667.38	15640	200	0.09	
[MXSA3017]	[HNDA09] 	[FLAB109] 	[AR,EN,DO,DU]	0.011	0.037	0.29	548.62	560.62	15635	200	0.08	
[MXSA3017]	[CRL0001]	[FLAB109] 	[AR,EN,DO,DU]	-0.022	0.038	0.59	510.25	488.00	14442	200	0.08	
[MXSA3017]	[CRL0030]	[FLAB109] 	[AR,EN,DO,DU]	-0.010	0.036	0.28	584.38	572.62	15208	200	0.08	
[MXSA3017]	[HNDA09] 	[FLCK18]  	[AR,EN,DO,DU]	0.032	0.041	0.80	441.38	470.88	13300	200	0.08	
[MXSA3017]	[CRL0001]	[FLCK18]  	[AR,EN,DO,DU]	0.048	0.039	1.22	409.50	450.50	12333	200	0.08	
[MXSA3017]	[CRL0030]	[FLCK18]  	[AR,EN,DO,DU]	0.018	0.043	0.41	430.50	446.00	12154	200	0.08	
[LALC2]   	[FLCK18] 	[MXSA3017]	[AR,EN,DO,DU]	-0.155	0.032	4.78	780.88	571.38	14312	200	0.11	
[LALC2]   	[FLAB109]	[MXSA3017]	[AR,EN,DO,DU]	-0.096	0.029	3.25	937.62	773.88	16966	200	0.11	
[FLBA140] 	[FLCK18] 	[MXSA3017]	[AR,EN,DO,DU]	-0.100	0.034	2.99	757.25	619.00	13195	200	0.12	
[FLBA140] 	[FLAB109]	[MXSA3017]	[AR,EN,DO,DU]	-0.067	0.028	2.38	937.88	819.88	16266	200	0.12	
[LALC2]   	[FLCK18] 	[HNDA09]  	[AR,EN,DO,DU]	-0.133	0.031	4.24	831.88	636.12	15056	200	0.11	
[LALC2]   	[FLAB109]	[HNDA09]  	[AR,EN,DO,DU]	-0.095	0.027	3.54	1034.00	854.25	18135	200	0.11	
[FLBA140] 	[FLCK18] 	[HNDA09]  	[AR,EN,DO,DU]	-0.097	0.033	2.98	830.25	682.75	13963	200	0.11	
[FLBA140] 	[FLAB109]	[HNDA09]  	[AR,EN,DO,DU]	-0.063	0.026	2.42	1016.25	896.50	17483	200	0.12	
[LALC2]   	[FLCK18] 	[CRL0030] 	[AR,EN,DO,DU]	-0.120	0.030	3.98	795.12	624.12	14196	200	0.11	
[LALC2]   	[FLAB109]	[CRL0030] 	[AR,EN,DO,DU]	-0.074	0.027	2.76	1062.25	915.75	18354	200	0.12	
[FLBA140] 	[FLCK18] 	[CRL0030] 	[AR,EN,DO,DU]	-0.120	0.033	3.60	849.25	667.25	13778	200	0.12	
[FLBA140] 	[FLAB109]	[CRL0030] 	[AR,EN,DO,DU]	-0.048	0.025	1.92	1148.75	1044.50	19107	200	0.12	
