p1        	p2       	p3_1      	p3_2     	O            	D_12	D_1	D_2	Z_12	Z_1	Z_2	BABBA	ABBBA	BABAA	ABBAA	BAABA	ABABA	nloci	pdisc	notes
[HNDA09]  	[CUVN10] 	[FLSA185] 	[LALC2]  	[DO,DU,AR,EN]	0.205	0.129	0.202	6.52	2.30	4.13	356.94	541.37	132.58	171.71	143.83	216.51	10043	0.14	OSMV
[MXSA3017]	[CUVN10] 	[FLSA185] 	[LALC2]  	[DO,DU,AR,EN]	0.200	0.090	0.180	6.74	1.52	3.28	354.10	531.30	131.19	157.10	152.48	219.57	9547	0.15	OSMV
[HNDA09]  	[CUVN10] 	[FLSA185] 	[FLBA140]	[DO,DU,AR,EN]	0.204	0.046	0.189	6.30	0.84	3.53	354.92	537.32	133.54	146.50	154.51	226.53	9162	0.15	OSMV
[MXSA3017]	[CUVN10] 	[FLSA185] 	[FLBA140]	[DO,DU,AR,EN]	0.203	-0.003	0.185	6.17	0.05	3.61	340.18	513.99	147.96	146.98	139.98	203.59	8655	0.15	OSMV
[HNDA09]  	[CUVN10] 	[FLCK216] 	[LALC2]  	[DO,DU,AR,EN]	0.246	0.197	0.172	8.00	4.08	3.36	380.99	628.93	140.10	208.73	153.96	217.95	11006	0.15	OSMV
[MXSA3017]	[CUVN10] 	[FLCK216] 	[LALC2]  	[DO,DU,AR,EN]	0.218	0.200	0.128	7.29	4.02	2.55	377.85	588.96	132.07	198.28	154.92	200.54	10427	0.15	OSMV
[HNDA09]  	[CUVN10] 	[FLCK216] 	[FLBA140]	[DO,DU,AR,EN]	0.254	0.149	0.203	8.18	3.12	3.51	364.54	613.01	142.16	191.77	157.48	237.67	10061	0.15	OSMV
[MXSA3017]	[CUVN10] 	[FLCK216] 	[FLBA140]	[DO,DU,AR,EN]	0.241	0.132	0.167	7.33	2.18	2.95	359.56	588.44	147.34	192.24	154.39	216.51	9495	0.16	OSMV
[HNDA09]  	[CUVN10] 	[FLAB109] 	[LALC2]  	[DO,DU,AR,EN]	0.266	0.348	0.048	9.49	8.28	0.98	527.26	908.94	174.25	359.98	238.15	262.10	14420	0.15	OSGV
[MXSA3017]	[CUVN10] 	[FLAB109] 	[LALC2]  	[DO,DU,AR,EN]	0.253	0.349	0.020	10.31	9.09	0.43	493.44	828.08	151.83	314.79	222.09	231.05	13542	0.15	OSGV
[HNDA09]  	[CUVN10] 	[FLAB109] 	[FLBA140]	[DO,DU,AR,EN]	0.284	0.313	0.181	9.93	8.74	3.82	512.35	918.92	166.35	317.59	204.12	294.27	13417	0.16	OSGV
[MXSA3017]	[CUVN10] 	[FLAB109] 	[FLBA140]	[DO,DU,AR,EN]	0.255	0.269	0.114	9.09	5.35	2.65	485.63	817.89	169.06	293.34	193.46	243.49	12541	0.16	OSGV
[HNDA09]  	[CUVN10] 	[FLCK216] 	[FLAB109]	[DO,DU,AR,EN]	0.291	0.060	0.355	9.44	1.12	6.80	346.58	630.64	146.98	165.90	110.85	232.66	10326	0.14	OSMG
[MXSA3017]	[CUVN10] 	[FLCK216] 	[FLAB109]	[DO,DU,AR,EN]	0.244	0.104	0.246	8.10	1.76	4.25	360.62	593.73	138.21	170.19	131.18	216.81	9753	0.15	OSMG
[FLSA185] 	[LALC2]  	[HNDA09]  	[CUVN10] 	[DO,DU,AR,EN]	0.158	0.042	0.115	4.87	0.67	2.34	458.49	630.60	133.05	144.64	172.49	217.47	10043	0.15	MVOS
[FLSA185] 	[LALC2]  	[MXSA3017]	[CUVN10] 	[DO,DU,AR,EN]	0.137	0.065	0.168	4.28	1.08	3.21	442.78	583.91	131.03	149.29	157.06	220.55	9547	0.15	MVOS
