taxa	H	E
CUMM5	0.01440629	0.00069964	
TXWV2	0.01300518	0.0005458	
CUCA4	0.01457015	0.00074929	
EN	0.01339648	0.00069015	
SCCU3	0.0131745	0.0006658	
CUSV6	0.01389987	0.0007037	
BJSB3	0.01257909	0.00056874	
TXGR3	0.01410024	0.00061261	
FLMO62	0.01654075	0.00093201	
FLSF47	0.01478195	0.00070803	
FLSF33	0.0141323	0.00069111	
BZBB1	0.01348689	0.0006828	
TXMD3	0.01373999	0.00061236	
FLCK216	0.0142475	0.00070708	
HNDA09	0.01343951	0.00066381	
CUVN10	0.01377066	0.0006457	
CRL0001	0.01173844	0.00054135	
LALC2	0.01306248	0.00057057	
MXED8	0.0142527	0.00067784	
MXGT4	0.01411207	0.00060029	
MXSA3017	0.0131403	0.00066094	
FLCK18	0.0139652	0.00076458	
FLWO6	0.01456439	0.00072811	
DO	0.01311771	0.00056313	
FLSF54	0.0124842	0.00049459	
HE	0.01182922	0.00050542	
FLBA140	0.01195717	0.00045514	
DU	0.01278646	0.0005615	
BJVL19	0.01100447	0.00039751	
AR	0.01255443	0.00049591	
NI	0.01218585	0.0004663	
CH	0.01363627	0.00050164	
BJSL25	0.01176411	0.00040638	
CRL0030	0.00931801	0.00041242	
FLSA185	0.00811339	0.00055247	
FLAB109	0.00768029	0.00048343	
