taxon               	nloci	f1loci	f2loci	nsites	npoly	poly
BJVL19.clustS.gz    	87484	68782	63230	5690653	22523	0.0039579
DU.clustS.gz        	95093	75055	67442	6068251	25799	0.0042515
CH.clustS.gz        	93460	76978	68915	6201629	30108	0.0048549
CRL0030.clustS.gz   	155765	73745	67557	6073645	18849	0.0031034
FLBA140.clustS.gz   	99766	68234	62252	5601625	25426	0.004539
HE.clustS.gz        	83717	68488	62294	5604991	24805	0.0044255
FLSF54.clustS.gz    	90262	65090	59083	5317406	26022	0.0048937
AR.clustS.gz        	89547	74771	67598	6083047	27933	0.0045919
FLSA185.clustS.gz   	145507	76104	71173	6398320	16776	0.0026219
NI.clustS.gz        	89558	74546	67619	6084875	26942	0.0044277
BJSL25.clustS.gz    	92589	73053	66745	6007194	24544	0.0040858
FLCK18.clustS.gz    	111768	48638	43246	3885651	18627	0.0047938
FLWO6.clustS.gz     	113396	57389	50321	4520846	19642	0.0043448
DO.clustS.gz        	81727	61969	55826	5021911	25206	0.0050192
CRL0001.clustS.gz   	98479	49047	44447	3995427	14507	0.0036309
MXSA3017.clustS.gz  	106750	51117	45917	4127166	18206	0.0044113
MXED8.clustS.gz     	100618	51522	46174	4150647	21471	0.0051729
FLAB109.clustS.gz   	224377	125570	116462	10467497	30272	0.002892
LALC2.clustS.gz     	91943	59418	53785	4837067	22792	0.0047119
MXGT4.clustS.gz     	96017	58795	52687	4737202	24737	0.0052219
TXMD3.clustS.gz     	81718	46277	41539	3733768	19105	0.0051168
SCCU3.clustS.gz     	89992	25377	22684	2037157	8722	0.0042815
BZBB1.clustS.gz     	87920	44496	39779	3575475	15444	0.0043194
FLSF33.clustS.gz    	84685	44397	39672	3565638	17042	0.0047795
FLCK216.clustS.gz   	88739	42610	37930	3408457	17778	0.0052158
CUMM5.clustS.gz     	25002	3496	3075	276054	1028	0.0037239
TXGR3.clustS.gz     	81154	42247	37771	3394416	18161	0.0053503
TXWV2.clustS.gz     	37240	6967	6206	557028	2090	0.0037521
FLSF47.clustS.gz    	82219	46458	41356	3717288	20029	0.0053881
CUVN10.clustS.gz    	83421	52733	47319	4254449	21068	0.004952
HNDA09.clustS.gz    	81223	53038	47552	4275774	17568	0.0041087
FLMO62.clustS.gz    	79635	46661	40095	3604243	21277	0.0059033
CUSV6.clustS.gz     	76333	42747	38173	3430972	16805	0.004898
BJSB3.clustS.gz     	75182	46360	41853	3762537	15460	0.0041089
EN.clustS.gz        	67471	37072	32958	2962423	14324	0.0048352
CUCA4.clustS.gz     	73372	32397	28630	2571974	12919	0.005023

    ## nloci = number of loci
    ## f1loci = number of loci with >N depth coverage
    ## f2loci = number of loci with >N depth and passed paralog filter
    ## nsites = number of sites across f loci
    ## npoly = number of polymorphic sites in nsites
    ## poly = frequency of polymorphic sites
